iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
1980,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Great Britain,Protestant Extremists,Other,0,1980-04-06,4
1980,Spain,WAAR,ONWAAR,Assassination,Private property,Spain,Basque Fatherland and Freedom (ETA),Firearms,2,1980-04-06,4
1971,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Northern Ireland,Irish Republican Army (IRA),Bombs,1,1971-10-24,10
1980,Spain,WAAR,ONWAAR,Explosion,Private property,Spain,Basque Fatherland and Freedom (ETA),Unknown,0,1980-04-07,4
1971,United Kingdom,WAAR,ONWAAR,Assassination,Private property,Northern Ireland,Irish Republican Army (IRA),Firearms,1,1971-10-26,10
1971,United Kingdom,WAAR,ONWAAR,Explosion,Government,Great Britain,Irish Republican Army (IRA),Bombs,2,1971-10-27,10
1980,France,WAAR,ONWAAR,Unknown,Private property,United States,Action Directe,Unknown,0,1980-04-09,4
1980,United Kingdom,WAAR,ONWAAR,Kidnapping,Private property,Great Britain,Irish Republican Army (IRA),Firearms,1,1980-04-09,4
1971,Ireland,WAAR,ONWAAR,Assassination,Private property,Ireland,Saor Eire (Irish Republican Group),Firearms,1,1971-10-27,10
1980,Italy,WAAR,ONWAAR,Assassination,Private property,Italy,Proletarian Patrols,Firearms,1,1980-04-10,4
1980,United Kingdom,WAAR,ONWAAR,Assassination,Government,Northern Ireland,Irish Republican Extremists,Firearms,1,1980-04-11,4
1980,Spain,ONWAAR,ONWAAR,Assassination,Government,Spain,Basque Fatherland and Freedom (ETA),Firearms,0,1980-04-11,4
1980,United Kingdom,WAAR,ONWAAR,Assassination,Public services,Libya,Libyan Students,Firearms,1,1980-04-11,4
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Northern Ireland,Irish Republican Army (IRA),Firearms,2,1971-11-01,11
1971,Spain,WAAR,ONWAAR,Explosion,Public services,Spain,Catalan Liberation Front (FAC),Bombs,0,1971-11-02,11
1980,France,WAAR,ONWAAR,Explosion,Government,France,Action Directe,Bombs,0,1980-04-15,4
1980,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Great Britain,Irish Republican Army (IRA),Bombs,0,1980-04-15,4
1980,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Great Britain,Irish Republican Army (IRA),Bombs,0,1980-04-15,4
1980,United Kingdom,WAAR,ONWAAR,Facility Attack,Private property,Northern Ireland,Irish Republican Army (IRA),Incendiary,0,1980-04-15,4
1980,France,WAAR,ONWAAR,Explosion,Government,France,Action Directe,Bombs,0,1980-04-15,4
1980,France,WAAR,ONWAAR,Explosion,Government,France,Action Directe,Bombs,0,1980-04-15,4
1980,France,WAAR,ONWAAR,Explosion,Government,France,Action Directe,Bombs,0,1980-04-15,4
1971,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Northern Ireland,Irish Republican Army (IRA),Bombs,3,1971-11-02,11
1980,United Kingdom,ONWAAR,ONWAAR,Explosion,Government,Northern Ireland,Ulster Freedom Fighters (UFF),Bombs,1,1980-04-15,4
1980,Spain,WAAR,ONWAAR,Explosion,Government,Spain,Basque Fatherland and Freedom (ETA),Bombs,0,1980-04-16,4
1980,Italy,WAAR,ONWAAR,Barricade,Public services,Italy,Communist Attack Units,Firearms,0,1980-04-16,4
1980,Spain,WAAR,ONWAAR,Assassination,Government,Spain,Basque Fatherland and Freedom (ETA),Firearms,2,1980-04-16,4
1980,Italy,WAAR,ONWAAR,Facility Attack,Private property,Italy,Justice Commandos for the Armenian Genocide,Incendiary,0,1980-04-17,4
1980,Italy,WAAR,ONWAAR,Facility Attack,Government,Italy,Justice Commandos for the Armenian Genocide,Incendiary,0,1980-04-17,4
1980,Italy,WAAR,ONWAAR,Explosion,Government,Italy,Justice Commandos for the Armenian Genocide,Bombs,0,1980-04-17,4
