iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Luhansk People's Republic,Firearms,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Luhansk People's Republic,Bombs,1,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-02,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Luhansk People's Republic,Firearms,0,2015-01-02,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Luhansk People's Republic,Firearms,0,2015-01-02,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-02,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2015-01-03,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,0,2015-01-03,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-03,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-03,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-03,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2015-01-04,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Bombs,,2015-01-04,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Bombs,,2015-01-04,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Bombs,,2015-01-04,1
2015,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Bombs,,2015-01-04,1
